Pi weather station data from codename mulberry, initialised Sun Sep 25 19:26:28 2022
Format YYYY-MM-DDTHH:MM:SS, Temperature [degC], Wind speed [km/h], Rainfall [mm]
Temperature is instantaneous, wind speed is averaged since previous measurement,
rainfall is accumulated since previous measurement.

time,temperature_degC,wind_speed_km/h,rainfall_mm
2022-09-26T01:05:40, 8.1875, 1.3, 0.0
2022-09-26T01:06:41, 8.1875, 0.87, 0.0
2022-09-26T01:07:42, 8.1875, 1.91, 0.0
2022-09-26T01:08:43, 8.1875, 2.19, 0.0
2022-09-26T01:09:44, 8.1875, 1.72, 0.0
2022-09-26T01:10:45, 8.125, 1.5, 0.0
2022-09-26T01:11:46, 8.125, 1.6, 0.0
2022-09-26T01:12:47, 8.125, 1.12, 0.0
2022-09-26T01:13:47, 8.0, 1.22, 0.0
2022-09-26T01:14:48, 8.0625, 0.85, 0.0
2022-09-26T01:15:49, 8.1875, 2.22, 0.0
2022-09-26T01:16:50, 8.125, 2.07, 0.0
2022-09-26T01:17:51, 8.125, 1.7, 0.0
2022-09-26T01:18:52, 8.125, 1.7, 0.0
2022-09-26T01:19:53, 8.125, 1.05, 0.0
2022-09-26T01:20:54, 8.125, 1.58, 0.0
2022-09-26T01:21:55, 8.0625, 0.93, 0.0
2022-09-26T01:22:56, 8.0625, 0.73, 0.0
2022-09-26T01:23:57, 8.125, 1.97, 0.0
2022-09-26T01:24:58, 8.125, 1.99, 0.0
2022-09-26T01:25:59, 8.125, 1.99, 0.0
2022-09-26T01:27:00, 8.0625, 0.71, 0.0
2022-09-26T01:28:00, 8.0, 1.79, 0.0
2022-09-26T01:29:01, 7.9375, 1.75, 0.0
2022-09-26T01:30:02, 7.875, 1.34, 0.0
2022-09-26T01:31:03, 7.875, 0.67, 0.0
2022-09-26T01:32:04, 7.8125, 0.28, 0.0
2022-09-26T01:33:05, 7.8125, 0.87, 0.0
2022-09-26T01:34:06, 7.8125, 0.91, 0.0
